country,equipment_type,destroyed,abandoned,captured,damaged,type_total,date_recorded
Russia,Naval Ships,1,0,0,0,1,2022-03-26
Russia,Naval Ships,1,0,0,0,1,2022-03-27
Russia,Radars,0,0,0,0,0,2022-02-23
Russia,Radars,1,0,0,0,1,2022-03-19
Russia,Radars,1,0,0,0,1,2022-03-26
Russia,Radars,1,0,0,0,1,2022-03-27
Russia,Self-Propelled Anti-Aircraft Guns,0,0,0,0,0,2022-02-23
Russia,Self-Propelled Anti-Aircraft Guns,5,3,0,0,8,2022-03-19
Russia,Self-Propelled Anti-Aircraft Guns,5,3,0,0,8,2022-03-26
Russia,Self-Propelled Anti-Aircraft Guns,5,3,0,0,8,2022-03-27
Russia,Self-Propelled Artillery,0,0,0,0,0,2022-02-23
Russia,Self-Propelled Artillery,10,12,15,0,37,2022-03-19
Russia,Self-Propelled Artillery,16,15,23,2,56,2022-03-26
Russia,Self-Propelled Artillery,16,15,23,2,56,2022-03-27
Russia,Self-Propelled Artillery,16,15,24,2,57,2022-03-27
Russia,Self-Propelled Artillery,18,15,24,2,59,2022-03-27
Russia,Surface-To-Air Missile Systems,0,0,0,0,0,2022-02-23
Russia,Surface-To-Air Missile Systems,17,7,12,1,37,2022-03-19
Russia,Surface-To-Air Missile Systems,20,7,12,1,40,2022-03-26
Russia,Surface-To-Air Missile Systems,20,7,12,1,40,2022-03-27
Russia,Tanks,0,0,0,0,0,2022-02-23
Russia,Tanks,103,41,106,4,254,2022-03-19
Russia,Tanks,128,42,126,4,300,2022-03-26
Russia,Tanks,128,42,126,4,300,2022-03-27
Russia,Tanks,128,42,128,4,302,2022-03-27
Russia,Tanks,129,42,131,5,307,2022-03-27
Russia,Tanks,129,42,131,6,308,2022-03-27
Russia,Towed Artillery,0,0,0,0,0,2022-02-23
Russia,Towed Artillery,4,5,23,2,34,2022-03-19
Russia,Towed Artillery,8,5,26,2,41,2022-03-26
Russia,Towed Artillery,8,5,26,2,41,2022-03-27
Russia,Towed Artillery,8,5,27,2,42,2022-03-27
Russia,"Trucks, Vehicles and Jeeps",0,0,0,0,0,2022-02-23
Russia,"Trucks, Vehicles and Jeeps",305,59,154,15,533,2022-03-19
Russia,"Trucks, Vehicles and Jeeps",361,59,174,16,610,2022-03-26
Russia,"Trucks, Vehicles and Jeeps",361,59,174,16,610,2022-03-27
Russia,"Trucks, Vehicles and Jeeps",364,59,181,16,620,2022-03-27
Russia,"Trucks, Vehicles and Jeeps",367,59,185,16,627,2022-03-27
Russia,Unmanned Aerial Vehicles,0,0,0,0,0,2022-02-23
Russia,Unmanned Aerial Vehicles,6,0,0,0,6,2022-03-19
Russia,Unmanned Aerial Vehicles,11,0,0,0,11,2022-03-26
Russia,Unmanned Aerial Vehicles,11,0,0,0,11,2022-03-27
Ukraine,Aircraft,0,0,0,0,0,2022-02-23
Ukraine,Aircraft,10,0,0,0,10,2022-03-19
Ukraine,Aircraft,11,0,0,0,11,2022-03-26
Ukraine,Aircraft,11,0,0,0,11,2022-03-27
Ukraine,All Types,0,0,0,0,0,2022-02-23
Ukraine,All Types,153,49,181,5,388,2022-03-19
Ukraine,All Types,209,37,296,16,558,2022-03-26
Ukraine,All Types,209,37,296,16,558,2022-03-27
Ukraine,All Types,211,37,296,16,560,2022-03-27
Ukraine,All Types,218,37,296,16,567,2022-03-27
Ukraine,All Types,220,37,296,16,569,2022-03-27
Ukraine,Anti-Aircraft Guns,0,0,0,0,0,2022-02-23
Ukraine,Anti-Aircraft Guns,0,0,0,0,0,2022-03-19
Ukraine,Anti-Aircraft Guns,0,0,0,0,0,2022-03-26
Ukraine,Anti-Aircraft Guns,0,0,0,0,0,2022-03-27
Ukraine,Anti-tank Guided Missiles,0,0,0,0,0,2022-02-23
Ukraine,Anti-tank Guided Missiles,0,0,50,0,50,2022-03-19
Ukraine,Anti-tank Guided Missiles,0,0,50,0,50,2022-03-26
Ukraine,Anti-tank Guided Missiles,0,0,50,0,50,2022-03-27
Ukraine,Anti-tank Guided Missiles,0,0,51,0,51,2022-03-27
Ukraine,Armoured Fighting Vehicles,0,0,0,0,0,2022-02-23
Ukraine,Armoured Fighting Vehicles,12,11,24,0,47,2022-03-19
Ukraine,Armoured Fighting Vehicles,21,4,35,0,60,2022-03-26
Ukraine,Armoured Fighting Vehicles,21,4,35,0,60,2022-03-27
Ukraine,Armoured Fighting Vehicles,22,4,35,0,61,2022-03-27
Ukraine,Armoured Personnel Carriers,0,0,0,0,0,2022-02-23
Ukraine,Armoured Personnel Carriers,5,2,17,0,24,2022-03-19
Ukraine,Armoured Personnel Carriers,5,2,21,0,28,2022-03-26
Ukraine,Armoured Personnel Carriers,5,2,21,0,28,2022-03-27
Ukraine,Engineering Vehicles,0,0,0,0,0,2022-02-23
Ukraine,Engineering Vehicles,0,0,0,0,0,2022-03-19
Ukraine,Engineering Vehicles,1,0,0,0,1,2022-03-26
Ukraine,Engineering Vehicles,1,0,0,0,1,2022-03-27
Ukraine,Helicopters,0,0,0,0,0,2022-02-23
Ukraine,Helicopters,0,0,0,0,0,2022-03-19
Ukraine,Helicopters,0,0,0,0,0,2022-03-26
Ukraine,Helicopters,0,0,0,0,0,2022-03-27
Ukraine,Infantry Fighting Vehicles,0,0,0,0,0,2022-02-23
Ukraine,Infantry Fighting Vehicles,19,9,20,0,48,2022-03-19
Ukraine,Infantry Fighting Vehicles,26,9,23,2,60,2022-03-26
Ukraine,Infantry Fighting Vehicles,26,9,23,2,60,2022-03-27
Ukraine,Infantry Mobility Vehicles,0,0,0,0,0,2022-02-23
Ukraine,Infantry Mobility Vehicles,5,1,20,1,27,2022-03-19
Ukraine,Infantry Mobility Vehicles,7,1,23,1,32,2022-03-26
Ukraine,Infantry Mobility Vehicles,7,1,23,1,32,2022-03-27
Ukraine,"Man-Portable Air Defence Systems
",0,0,0,0,0,2022-02-23
Ukraine,"Man-Portable Air Defence Systems
",0,0,16,0,16,2022-03-19
Ukraine,"Man-Portable Air Defence Systems
",0,0,16,0,16,2022-03-27
Ukraine,"Man-Portable Air Defence Systems
",0,0,16,0,16,2022-03-26
Ukraine,Multiple Rocket Launchers,0,0,0,0,0,2022-02-23
Ukraine,Multiple Rocket Launchers,0,0,0,0,0,2022-03-19
Ukraine,Multiple Rocket Launchers,1,0,0,0,1,2022-03-26
Ukraine,Multiple Rocket Launchers,1,0,0,0,1,2022-03-27
Ukraine,Naval Ships,0,0,0,0,0,2022-02-23
Ukraine,Naval Ships,2,0,11,0,13,2022-03-19
Ukraine,Naval Ships,2,0,11,0,13,2022-03-26
Ukraine,Naval Ships,2,0,11,0,13,2022-03-27
Ukraine,Radars,0,0,0,0,0,2022-02-23
Ukraine,Radars,4,0,0,2,6,2022-03-19
Ukraine,Radars,6,0,0,3,9,2022-03-26
Ukraine,Radars,6,0,0,3,9,2022-03-27
Ukraine,"Self-Propelled Anti-Aircraft Guns
",0,0,0,0,0,2022-02-23
Ukraine,"Self-Propelled Anti-Aircraft Guns
",0,0,0,0,0,2022-03-19
Ukraine,"Self-Propelled Anti-Aircraft Guns
",0,0,0,0,0,2022-03-27
Ukraine,"Self-Propelled Anti-Aircraft Guns
",0,0,0,0,0,2022-03-26
Ukraine,Self-Propelled Artillery,0,0,0,0,0,2022-02-23
Ukraine,Self-Propelled Artillery,5,1,0,0,6,2022-03-19
Ukraine,Self-Propelled Artillery,7,1,0,1,9,2022-03-26
Ukraine,Self-Propelled Artillery,7,1,0,1,9,2022-03-27
Ukraine,"Surface-To-Air Missile Systems
",0,0,0,0,0,2022-02-23
Ukraine,"Surface-To-Air Missile Systems
",11,0,0,0,11,2022-03-19
Ukraine,"Surface-To-Air Missile Systems
",15,2,0,0,17,2022-03-27
Ukraine,"Surface-To-Air Missile Systems
",15,2,0,0,17,2022-03-26
Ukraine,Tanks,0,0,0,0,0,2022-02-23
Ukraine,Tanks,23,11,31,0,65,2022-03-19
Ukraine,Tanks,26,9,42,0,77,2022-03-26
Ukraine,Tanks,26,9,42,0,77,2022-03-27
Ukraine,Towed Artillery,0,0,0,0,0,2022-02-23
Ukraine,Towed Artillery,2,3,11,0,16,2022-03-19
Ukraine,Towed Artillery,4,3,11,3,21,2022-03-26
Ukraine,Towed Artillery,4,3,11,3,21,2022-03-27
Ukraine,Towed Artillery,6,3,11,3,23,2022-03-27
Ukraine,Towed Artillery,8,3,11,3,25,2022-03-27
Ukraine,"Trucks, Vehicles and Jeeps",0,0,0,0,0,2022-02-23
Ukraine,"Trucks, Vehicles and Jeeps",37,8,42,2,89,2022-03-19
Ukraine,"Trucks, Vehicles and Jeeps",61,5,109,5,180,2022-03-26
Ukraine,"Trucks, Vehicles and Jeeps",61,5,109,5,180,2022-03-27
Ukraine,"Trucks, Vehicles and Jeeps",63,5,109,5,182,2022-03-27
Ukraine,"Trucks, Vehicles and Jeeps",67,5,109,5,186,2022-03-27
Ukraine,Unmanned Aerial Vehicles,0,0,0,0,0,2022-02-23
Ukraine,Unmanned Aerial Vehicles,5,0,0,0,5,2022-03-19
Ukraine,Unmanned Aerial Vehicles,7,0,0,0,7,2022-03-26
Ukraine,Unmanned Aerial Vehicles,7,0,0,0,7,2022-03-27
